post_id,date,content_type,campaign_name,impressions,reach,engagement,likes,comments,shares,saves,clicks,conversions,spend,age_group,gender,location,story_exits,profile_visits
POST_IG_001,2024-07-01 09:30:00,Reel,Summer Sale 2024,45300,42100,3420,2890,340,120,70,580,42,850.00,18-24,All,Sydney,0,125
POST_IG_002,2024-07-01 14:15:00,Image,Brand Awareness Q3,18900,17200,1240,1050,130,45,15,220,18,320.00,25-34,Female,Melbourne,0,45
POST_IG_003,2024-07-02 10:00:00,Carousel,Product Launch,32100,29800,2180,1820,245,85,30,420,35,650.00,35-44,All,Brisbane,0,78
POST_IG_004,2024-07-02 16:45:00,Story,Flash Sale,12400,11800,890,720,95,55,20,180,28,180.00,18-24,Female,Sydney,340,32
POST_IG_005,2024-07-03 11:20:00,Video,Tutorial Series,38700,35900,2640,2180,320,110,30,510,38,720.00,25-34,All,Perth,0,92
POST_IG_006,2024-07-03 15:30:00,Reel,Summer Sale 2024,51200,47800,4120,3480,410,160,70,690,55,920.00,18-24,All,Adelaide,0,145
POST_IG_007,2024-07-05 09:00:00,Image,Weekend Special,22100,20300,1580,1340,165,55,20,280,32,420.00,35-44,Male,Sydney,0,58
POST_IG_008,2024-07-05 17:30:00,Carousel,Summer Sale 2024,28900,26700,1920,1590,195,95,40,350,42,580.00,25-34,Female,Melbourne,0,68
POST_IG_009,2024-07-06 10:45:00,Reel,Influencer Collab,67800,63200,5240,4420,520,220,80,890,62,1240.00,18-24,All,Brisbane,0,185
POST_IG_010,2024-07-06 14:00:00,Story,Daily Tips,9800,9200,680,560,72,35,13,125,15,120.00,25-34,Female,Perth,280,28
POST_IG_011,2024-07-08 08:30:00,Video,Tutorial Series,42300,39200,2890,2380,340,130,40,560,45,780.00,35-44,All,Sydney,0,98
POST_IG_012,2024-07-08 13:45:00,Image,Product Launch,19800,18100,1320,1120,145,42,13,245,28,380.00,45-54,All,Adelaide,0,48
POST_IG_013,2024-07-09 10:15:00,Carousel,Summer Sale 2024,31200,28900,2140,1780,220,105,35,410,48,620.00,25-34,All,Melbourne,0,72
POST_IG_014,2024-07-09 16:20:00,Reel,Behind the Scenes,48900,45600,3780,3180,385,145,70,640,52,880.00,18-24,All,Brisbane,0,132
POST_IG_015,2024-07-10 11:00:00,Story,Customer Stories,11200,10600,820,680,88,42,12,148,22,150.00,35-44,Female,Sydney,310,35
