customer_id,signup_date,company_size,industry,country,plan_type,contract_length,monthly_revenue,total_revenue,payment_method,payment_failures,discount_received,monthly_active_days,feature_adoption_score,support_tickets_count,login_frequency,session_duration_avg,api_calls_count,days_since_last_login,feature_usage_decline,customer_health_score,nps_score,product_feedback_submitted,churned,churn_date,retention_campaign_received
CUST_00001,2023-04-13,Enterprise,Education,Germany,Enterprise,Multi-year,1123.04,24556.25,PayPal,0,0,8.0,45.1,3,6.6,4.4,8,8.6,0,62.7,-15.0,0,0,,0
CUST_00002,2024-03-11,Medium,Technology,USA,Free,Month-to-month,0.0,0.0,Credit Card,0,0,9.0,77.7,4,,,67,21.3,0,57.8,-6.0,1,0,,1
CUST_00003,2023-09-28,Enterprise,Retail,USA,Enterprise,Multi-year,877.92,15047.1,Invoice,0,0,,80.3,3,3.3,30.5,2,1.8,0,82.6,50.0,0,0,,0
CUST_00004,2023-04-17,Medium,Education,USA,Pro,Annual,206.18,3461.3,Credit Card,0,1,11.0,84.6,2,4.5,13.1,151,3.6,1,49.7,35.0,0,0,,0
CUST_00005,2023-03-13,Medium,Healthcare,USA,Pro,Annual,218.1,5397.11,Credit Card,1,1,10.0,86.7,0,2.2,7.7,403,6.6,0,66.7,21.0,1,0,,0
CUST_00006,2024-12-01,Small,Healthcare,USA,Enterprise,Multi-year,1060.1,738.31,Credit Card,1,1,,88.1,0,2.7,26.3,13,3.7,0,66.6,-5.0,0,0,,0
CUST_00007,2023-01-21,Small,Education,UK,Basic,Month-to-month,47.03,1158.85,Credit Card,2,0,11.0,68.3,0,3.5,10.3,12,1.5,1,50.7,1.0,1,0,,1
CUST_00008,2024-09-06,Small,Education,USA,Basic,Month-to-month,47.13,145.11,Credit Card,0,0,9.0,73.7,3,,12.1,4,6.5,0,65.2,36.0,0,0,,0
CUST_00009,2023-05-02,Small,Healthcare,UK,Enterprise,Multi-year,914.42,19401.71,Credit Card,0,0,19.0,77.2,3,3.5,49.6,173,7.6,0,79.7,13.0,0,0,,1
CUST_00010,2024-04-11,Medium,Finance,USA,Free,Month-to-month,0.0,0.0,Credit Card,0,0,15.0,69.7,1,4.3,35.4,129,2.5,0,76.3,89.0,0,0,,0
CUST_00011,2023-08-03,Small,Retail,USA,Enterprise,Multi-year,1050.83,17270.18,Invoice,1,0,15.0,68.4,0,1.5,34.8,187,2.3,0,76.3,29.0,1,0,,0
CUST_00012,2023-11-27,Small,Technology,Australia,Pro,Annual,221.35,3614.33,Credit Card,1,1,14.0,63.8,1,2.1,19.3,244,4.1,1,54.0,5.0,1,0,,0
