post_id,date,post_type,campaign_name,impressions,reach,engagement,likes,comments,shares,clicks,conversions,spend,age_group,gender,location,video_views,page_likes
POST_FB_001,2024-07-01 10:00:00,Video,Summer Sale 2024,52300,48900,3180,2420,520,240,620,48,920.00,25-34,All,Sydney,38400,28
POST_FB_002,2024-07-01 15:30:00,Photo,Brand Awareness Q3,28400,26100,1840,1420,285,135,310,25,480.00,35-44,Female,Melbourne,0,18
POST_FB_003,2024-07-02 09:45:00,Link,Product Launch,35600,33200,2280,1680,380,220,580,42,720.00,45-54,All,Brisbane,0,22
POST_FB_004,2024-07-02 14:20:00,Video,Flash Sale,18900,17600,1240,920,210,110,280,32,320.00,25-34,Female,Sydney,14200,15
POST_FB_005,2024-07-03 11:00:00,Photo,Tutorial Series,42100,39200,2840,2180,465,195,540,45,780.00,35-44,All,Perth,0,25
POST_FB_006,2024-07-03 16:15:00,Video,Summer Sale 2024,58700,54900,3920,2980,640,300,720,62,1080.00,25-34,All,Adelaide,43600,32
POST_FB_007,2024-07-05 10:30:00,Link,Weekend Special,31200,28900,2040,1520,340,180,420,38,560.00,45-54,Male,Sydney,0,20
POST_FB_008,2024-07-05 18:00:00,Photo,Summer Sale 2024,36400,33700,2420,1840,395,185,460,48,680.00,35-44,Female,Melbourne,0,24
POST_FB_009,2024-07-06 11:30:00,Video,Influencer Collab,74200,69300,5180,3940,840,400,980,72,1420.00,25-34,All,Brisbane,55800,38
POST_FB_010,2024-07-06 15:45:00,Status,Daily Tips,12800,11900,880,680,148,52,165,18,180.00,35-44,Female,Perth,0,12
POST_FB_011,2024-07-08 09:00:00,Video,Tutorial Series,48600,45200,3240,2480,525,235,620,52,880.00,45-54,All,Sydney,36400,28
POST_FB_012,2024-07-08 14:30:00,Photo,Product Launch,24900,23100,1680,1280,275,125,320,32,440.00,55+,All,Adelaide,0,18
POST_FB_013,2024-07-09 10:45:00,Link,Summer Sale 2024,38700,35900,2560,1920,410,230,520,55,740.00,35-44,All,Melbourne,0,25
POST_FB_014,2024-07-09 17:00:00,Video,Behind the Scenes,56300,52600,3840,2920,620,300,680,58,1020.00,25-34,All,Brisbane,42200,30
POST_FB_015,2024-07-10 12:15:00,Status,Customer Stories,14600,13600,1020,780,168,72,188,25,210.00,45-54,Female,Sydney,0,15
POST_FB_016,2024-07-12 10:00:00,Video,How-to Guide,42800,39800,2920,2240,475,205,560,48,820.00,35-44,All,Perth,32100,26
POST_FB_017,2024-07-12 16:30:00,Photo,Summer Sale 2024,62400,58300,4280,3260,695,325,810,65,1120.00,25-34,All,Sydney,0,35
POST_FB_018,2024-07-13 11:45:00,Link,Weekend Special,32800,30200,2180,1640,350,190,440,42,600.00,45-54,Male,Melbourne,0,22
POST_FB_019,2024-07-13 15:30:00,Photo,Product Launch,37200,34500,2480,1880,400,200,480,52,700.00,35-44,Female,Brisbane,0,26
POST_FB_020,2024-07-15 09:30:00,Video,Trending Challenge,79600,74400,5840,4440,950,450,1020,78,1480.00,25-34,All,Adelaide,59700,42
POST_FB_021,2024-07-15 17:45:00,Status,Quick Tips,13500,12600,940,720,156,64,172,22,195.00,35-44,Female,Sydney,0,14
POST_FB_022,2024-07-16 12:00:00,Video,Tutorial Series,45900,42700,3140,2400,510,230,580,55,860.00,45-54,All,Perth,34400,28
POST_FB_023,2024-07-16 16:15:00,Photo,Brand Awareness Q3,26700,24600,1780,1360,290,130,340,30,490.00,55+,All,Melbourne,0,20
POST_FB_024,2024-07-17 10:30:00,Link,Summer Sale 2024,41200,38200,2720,2040,435,245,560,58,780.00,35-44,All,Brisbane,0,28
POST_FB_025,2024-07-17 14:45:00,Video,User Generated,67800,63400,4680,3560,760,360,860,68,1220.00,25-34,All,Sydney,50900,36
POST_FB_026,2024-07-19 11:15:00,Status,Friday Motivation,15200,14200,1060,810,175,75,195,24,220.00,35-44,Female,Adelaide,0,16
POST_FB_027,2024-07-19 18:30:00,Video,Product Demo,47600,44300,3280,2500,535,245,620,58,900.00,45-54,All,Melbourne,35700,30
POST_FB_028,2024-07-20 10:00:00,Photo,Weekend Vibes,71400,66800,5040,3840,820,380,920,72,1300.00,25-34,All,Brisbane,0,38
POST_FB_029,2024-07-20 16:45:00,Link,Weekend Special,34600,31900,2320,1740,370,210,480,45,640.00,45-54,Male,Perth,0,24
