CustomerID,Age,Gender,MonthlyCharges,TotalCharges,ContractLength,DataUsageGB,CustomerServiceCalls,PaymentMethod,AccountAge,InternationalPlan,DeviceProtection,StreamingService,Churn
0988-JRWWP,50,Female,54.2,140.4,1,5,2,Bank Withdrawal,3,0,0,1,0
7718-RXDGG,54,Male,68.6,1108.6,1,10,4,Bank Withdrawal,15,0,0,0,0
6121-VZNQB,35,Female,19.1,19.1,1,0,5,Credit Card,1,0,0,0,1
9552-TGUZV,57,Male,75.0,658.1,1,18,4,Credit Card,8,0,0,0,0
1963-VAUKV,31,Female,20.4,20.4,1,0,4,Mailed Check,1,0,0,0,1
0875-CABNR,70,Female,84.6,865.55,1,30,5,Credit Card,10,0,1,1,1
7799-LGRDP,42,Female,25.7,1188.2,24,0,2,Credit Card,43,1,0,0,0
4959-JOSRX,41,Female,44.6,80.55,1,16,6,Credit Card,2,0,0,0,1
0625-AFOHS,40,Female,20.2,558.8,24,0,3,Credit Card,29,0,0,0,0
9317-WZPGV,74,Female,79.75,159.4,1,23,3,Bank Withdrawal,2,0,0,1,1
2862-PFNIK,47,Male,24.7,24.7,1,21,3,Bank Withdrawal,1,0,0,0,0
0366-NQSHS,42,Male,19.35,46.35,1,0,5,Credit Card,2,0,0,0,0
3473-XIIIT,61,Female,100.0,1534.75,1,26,7,Bank Withdrawal,16,0,0,1,1
0164-APGRB,56,Female,114.9,8496.7,24,5,4,Bank Withdrawal,72,0,1,1,0
8999-XXGNS,70,Female,105.75,7629.85,12,16,3,Credit Card,72,0,1,1,0
6122-EFVKN,44,Male,35.75,830.8,24,20,5,Credit Card,24,0,0,0,0
2606-PKWJB,62,Male,40.25,1564.05,12,57,3,Credit Card,40,0,0,0,0
1215-EXRMO,32,Male,20.55,1067.65,24,0,3,Credit Card,50,0,0,0,0
9554-DFKIC,50,Male,54.45,1588.7,1,19,4,Bank Withdrawal,30,0,0,0,0
9418-RUKPH,26,Female,19.95,756.4,24,0,3,Credit Card,38,0,0,0,0
0928-XUTSN,22,Female,80.5,1011.8,1,27,3,Bank Withdrawal,13,0,0,1,0
2639-UGMAZ,73,Male,56.45,3985.35,12,20,4,Bank Withdrawal,71,0,0,1,0
0118-JPNOY,71,Female,85.8,2193.65,1,7,3,Credit Card,26,0,0,1,0
1642-HMARX,45,Female,91.7,6424.7,24,5,5,Bank Withdrawal,68,0,1,1,0
7017-VFHAY,42,Female,115.1,7008.15,24,12,5,Credit Card,61,0,1,1,0
7305-ZWMAJ,45,Male,20.7,587.1,12,0,2,Credit Card,30,0,0,0,0
1142-IHLOO,36,Female,87.55,4475.9,12,7,3,Credit Card,51,0,0,1,0
9711-FJTBX,60,Male,85.85,4793.8,12,10,4,Credit Card,56,0,1,0,0
9650-VBUOG,44,Male,25.05,963.95,24,0,4,Credit Card,38,0,0,0,0
2968-SSGAA,41,Female,100.6,1060.2,1,3,6,Bank Withdrawal,10,0,1,1,1
0516-OOHAR,39,Male,100.35,2799.0,12,13,4,Bank Withdrawal,28,0,1,1,0
0326-VDYXE,21,Female,97.65,6982.5,12,26,2,Bank Withdrawal,70,0,1,1,0
3956-MGXOG,62,Female,80.6,2244.95,1,5,1,Bank Withdrawal,28,0,0,1,0
6344-SFJVH,41,Female,24.9,505.95,1,21,2,Credit Card,20,0,0,0,0
1345-ZUKID,24,Male,19.35,324.8,12,0,5,Mailed Check,14,0,0,0,0
1934-SJVJK,35,Male,20.15,20.15,1,0,4,Credit Card,1,0,0,0,1
4456-RHSNB,43,Female,49.6,962.9,1,17,5,Bank Withdrawal,19,0,1,0,0
5561-NWEVX,78,Female,79.2,172.85,1,18,5,Bank Withdrawal,2,0,1,0,1
5536-SLHPM,38,Female,77.75,4458.15,1,4,4,Bank Withdrawal,55,0,1,0,1
5294-IMHHT,44,Male,97.75,5043.2,12,17,4,Bank Withdrawal,53,0,0,1,0
0880-TKATG,21,Male,101.15,385.9,1,48,5,Bank Withdrawal,4,0,1,1,1
5214-NLTIT,22,Male,90.8,6511.8,24,59,5,Credit Card,72,0,1,1,0
9950-MTGYX,30,Male,20.3,487.95,24,0,5,Credit Card,28,0,0,0,0
3323-CPBWR,61,Male,96.9,2085.45,1,6,3,Credit Card,23,0,1,1,0
5542-NKVRU,24,Female,20.75,844.45,24,0,3,Bank Withdrawal,42,0,0,0,0
5151-HQRDG,57,Male,55.05,2030.75,1,10,3,Mailed Check,37,0,0,0,0
7873-CVMAW,61,Male,88.55,6362.35,24,27,3,Credit Card,72,0,1,1,0
4367-NUYAO,39,Male,25.75,257.5,24,0,3,Credit Card,10,1,0,0,0
0486-HECZI,37,Male,96.75,5238.9,1,27,7,Bank Withdrawal,55,0,0,1,1
0604-THJFP,40,Female,75.95,4542.35,24,22,5,Credit Card,59,0,0,1,0
